id,group,condition,InsR,Number_TriCir,Number_TriCir_Exp,Number_Cross,Number_Cross_Exp,Number_Vert,Number_Vert_Exp,Number_Horz,Number_Horz_Exp,Init_Horz,Init_Horz_Exp,Init_Vert,Init_Vert_Exp,TwoBlocks_TenBlocks,TwoBlocks_TenBlocks_Exp,Init_Distance,Init_Distance_Exp,Fin_Distance,Fin_Distance_Exp,Init_Sorted,Init_Sorted_Exp,Pattern_NoPattern,Pattern_NoPattern_Exp,Sampling_Check1,Sampling_Check2,Sampling,Sampling_Exp,Box_Castle,Box_Castle_Exp,TwoPile_Castle,TwoPile_Castle,Vert_Horz,Vert_Horz_Exp,Age_Check1,Age_Check2,Adult_Child,Adult_Child_Exp,Sling_Check1,Sling_Check2,Sling_TwoHands,Sling_TwoHands_Exp,OneAgent_TwoAgent,OneAgent_TwoAgent,Strategy,gender,age,include,include_why,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OneAgent_TwoAgent,OneAgent_TwoAgent,OneAgent_TwoAgent,T17Exp,Strategy,D1,D2,D3,D4,D5,D5_3_TEXT,age,D7,D8,D9,random
11,adult,hard,1,1,more blocks  more complex shape,1,more blocks ,1,more blocks,1,more complex shape more blocks,1,more blocks were already assembled for jessica ,1,less blocker were assembled for quinn,1,more blocks,1,not sure they are farther away,1,kara had to work off to the side,1,emma blocks were not sorted,1,kelly had to place the block in order because of the color pattern ,0,1,1,claire  had to spend more time picking the 6 block out ,1,sam had to assemble his blocks  tom just threw his in the container  ,1,she had to do more separating and  create the shape,1,she had to stack her on top of each other,1,1,1,probaly because he has never done a task like this before,1,1,1,because of his sore arm ,1,because only one of her,just what i thought would be harder,0,35,0,SAMPLING_CHECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,because only one of her,just what i thought would be harder,Yes,,1,Yes,Male,,35,"Some college, no degree",english,,52236
12,adult,hard,1,1,more complicated shape,1,has more blocks,1,needed more blocks,1,more complicated shape,1,needed more blocks to complete it,1,needed more blocks to complete it,1,has more blocks,1,needed to move blocks,1,needed to move blocks,1,required more work,1,required more work,1,1,1,required more time and energy to do,1,required actual building,1,required organizing and building,1,required more work to build,1,1,1,probably less focused,1,1,1,he has decreased dexterity,1,had twice as much work to do,"i thought about how much concentration, time, and energy needed to build the figures",0,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,had twice as much work to do,"i thought about how much concentration, time, and energy needed to build the figures",Yes,no,2,No,Male,,38,Master's degree,english,no,20892
13,adult,hard,1,1,There are more blocks to move around,1,Ther are more pieces to line up straight and even ,1,Sally made 3 times what anne made,1,There are more pieces to align,1,Jessica's was already started,1,Quinn's was already started,1,"There are more pieces to move around, more mistakes could be made",0,They look the same to me,0,They look the same,0,Emma's was already closer to that set up when she started,1,"kelly sorted hers by color, too ",1,1,1,It was harder because she had fewer red to choose from ,1,All Tom did is put stuff in a jar,1,Lisa stacked and coordinated color,1,Tessa had to make sure it wouldn't fall ,1,1,1,He is younger and has less developed motor skills,1,1,1,because Marcus had a sore arm that limited him ,1,Claire had to work twice as hard,,1,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Claire had to work twice as hard,,Yes,no,2,Yes,Female,,35,Bachelor's degree,english,no,52132
14,adult,hard,1,1,more blocks to arrange,1,more blocks to arrange,1,sally had more parts to assemble,1,more blocks to arrange,1,started from more disorder,1,she started from more disorder,1,beth had more parts to put together,1,danielle had to move them in front of her,1,kara had to move the blocks and assemble the shape,1,had to sort by color ,1,coordination of alternating colors,1,1,1,she had fewer red blocks overall,1,more skill to stack than to bin,1,sophisticated design with alternating colors,1,vertical stacking more difficult,1,1,1,John's a little kid,1,1,1,tougher to do with one hand,1,had to do twice as much,"I was looking for sophisticated design and/or evidence that someone was working with a handicap (arm in a sling, young, blocks in another area of the table)",0,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,had to do twice as much,"I was looking for sophisticated design and/or evidence that someone was working with a handicap (arm in a sling, young, blocks in another area of the table)",,no,yes,Yes,Male,,45,PhD,English,no,83364
15,adult,hard,0,1,Amanda only had to move 3 blocks slightly whereas Paige had 10 blocks she had to arrange.,1,The end figures are basically the same but Sharon's scale of construction was larger so involved more labor but was not more taxing otherwise,1,Sally had to construct the same model as Anne 3 times.,1,Essentially Sarah had to make 3 of the straight lines that Jill did once,1,The end products are the same but Sophie had to move a lot more blocks to make hers,1,It was harder in the sense that she had to put in more work by moving and arrranging more blocks,1,Beth had to arrange and move more blocks one at a time with resultant increase in chances for it to fail and fall,0,The difference is very slight but Jane had to clear her work space before she could begin construction,1,Kara's model is in a more unnatural position to work on and it would have been harder to use two hands without the effort of twisting back and forth,1,Emma had slightly more work because she had to spend a little more time separating and arranging the blocks which were initially mixed together,1,Kelly had to spend a tiny amount of time making sure she alternated colors whereas Grace could just grab any block,1,1,1,Claire had to search harder and move more blocks to get the same amount of red blocks out of the container,1,Sam just had to throw the blocks in the box without worrying about how they landed whereas Sam had to carefully place the blocks in a balanced position to ensure they did not fall.,1,Both had to separate blocks by color but then Lisa then had to take the extra step to actually use the blocks to construct the tower,1,Liz did not have to worry about keeping the blocks balanced as she placed them and could easily readjust their position at any time whereas Tessa had to get the blocks perfectly balanced each time and it would be difficult to make adjustments without risking them falling,1,1,1,John likely hasn't developed his motor skills as much as Kara,1,1,1,Marcus would have thought it was harder since he would have only one hand which would have made keeping the tower balanced harder since he could not support it with one hand while placing a new block on it.,1,Claire essentially did twice the work of either individual on the other team,"I approached each one individually, I don't know that I had an overall strategy but in general the one which involved more sorting, distance, balancing would be more difficult and then adjust judgment if someone was younger, disabled etc.",0,54,0,WARMUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Claire essentially did twice the work of either individual on the other team,"I approached each one individually, I don't know that I had an overall strategy but in general the one which involved more sorting, distance, balancing would be more difficult and then adjust judgment if someone was younger, disabled etc.",Yes,no,2,Yes,Male,,54,Bachelor's degree,English,,76036
16,adult,hard,1,1,It has more blocks and is a more complex design,1,It has more blocks and takes longer to make,1,She had to use more blocks and do three times the work,1,It has more blocks and is more complex,1,Sophie had to move more blocks into place,1,"She had to figure out more than Quinn, Quinn only had to add a couple blocks to complete hers.",1,Beth had to make and balance the tower with all single blocks which is more difficult than doing it with two solid long blocks.,1,Danielle had to move the blocks further than Jane,1,She had to move the blocks further away,1,She had to separate the green and yellow blocks first,1,Because she made a design with the colors in a sequence,1,1,1,Because she had to search harder to find the red blocks,1,All Tom did was put the blocks in a container,1,"All Carol did was separate the blocks by color, Lisa actually designed something",1,She had to balance the blocks so that the tower wont fall over,1,1,1,Because his brain isn't as developed yet as an adult,1,1,1,Because he only has use of one arm,1,Because she had to do it alone without anyone helping her,"Looked at the design that the person did and the complexity, plus how much/far they had to move the blocks around. That was my strategy.",0,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Because she had to do it alone without anyone helping her,"Looked at the design that the person did and the complexity, plus how much/far they had to move the blocks around. That was my strategy.",Yes,No,1.5,No,Male,,36,Associate's degree,English,No,98751
17,adult,hard,1,0,"This one was harder--while Paige's is larger, with more blocks, the shape is dictated by the alignment of the edges of the blocks themselves, leaving Paige with fewer decisions to make. Amanda, on the other hand, set hers up in a more abstract relationship. Since the blocks don't touch, they could conceivably be placed anywhere, which is determined by the decisions Amanda has to make. ",1,"The spokes of the shape are much larger in Sharon, which means she not only had to make the shape Meg did, she also had to figure out what she was going to do with the rest of her blocks. This is an added challenge that Meg didn't have.",1,"They both made the same structure, but Sally made three of them. It's harder because it takes longer to build.",1,"Jill made a simply line with her blocks, while Sarah made three lines and put those lines into a more complex relationship with one another, to make a triangle. There were many more steps Sarah had to go through, and more creativity was involved. ",1,Jessica's was mostly made when she found it. Sophie made the same structure but she had to go through a lot more steps to get there. ,1,"Quinn merely added three blocks to an existing structure. Ruth not only made the same structure with a lot more steps, she also had to imagine what that structure would be in order to create it. ",0,Making two long shapes balance on end is a lot harder that making small squares balance.,1,Danielle had to move her blocks further to make the same structure as Jane. ,1,Kara had to move her blocks further than Linda to make the same structure.,1,"Emma had to first separate out her yellow from her green blocks to make the same structure as Rose. Rose's were already separated, so she had one less step to do. ",1,"She not only had to stack the blocks, like Grace, but she had to decide whether the colors would form a pattern and what pattern that would be. ",1,1,1,Claire had to dig more to find the six red blocks. Jen could merely skim the surface to get hers. ,1,"Sam's is an actual structure with intentional form, whereas Tom merely put his blocks into a container. ",1,"Lisa not only dealt with the colors of the blocks by arranging them in a pattern, she also stacked them. Carol merely separated her blocks. ",1,"Tessa not only had to align her blocks, so also had to balance them. ",1,1,1,"His spatial reasoning isn't as developed yet as Kara's is, so it likely took him longer. Also, as a child he likely didn't find the task fun, which would make it seem even more difficult. ",1,1,1,Marcus had to balance his blocks with only one had. That is much more difficult than doing it with two hands.,0,"Jordan and Sarah had to work together to decide to do the same thing. Even though they both made their own structures, this still involved an element of team work that Claire didn't have. Claire had more freedom, so it was easier. ","I took each question as it came, trying to think of what exactly made each person's task different. Then I made assumptions based on that difference. I tried not to jump to conclusions about what would make something easy or hard. ",1,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Jordan and Sarah,Jordan,0,"Jordan and Sarah had to work together to decide to do the same thing. Even though they both made their own structures, this still involved an element of team work that Claire didn't have. Claire had more freedom, so it was easier. ","I took each question as it came, trying to think of what exactly made each person's task different. Then I made assumptions based on that difference. I tried not to jump to conclusions about what would make something easy or hard. ",Yes,No,2.5,Yes,Female,,32,Master's degree,English,,49651
18,adult,hard,1,1,Paige made the harder design because she had more blocks.,1,Sharon made the more difficult design because she had more blocks to arrange.,1,Sally had to do three times as much work as Anne.,1,"Because she had more blocks, and the design is more complicated.",1,What Sophie made was harder because more of her blocks were messed up before she started. Jessica had it easier.,1,Ruth had to do more work. Quinn's was already mostly set up.,1,"Beth had it harder because she had many blocks, while it looks like Kate only had two. If Kate's blocks were the same as Beth's, but just arranged neater, then they both had exactly the same level of difficulty.",1,Danielle made something slightly more difficult because the blocks were further away in their starting position.,1,Kara made the more difficult design because it is placed further away. Linda made hers right where the blocks started.,1,"Emma had to separate the colors, while Rose had the pre separated.",1,Kelly made the more difficult design because she used alternating colors.,1,1,1,"It was harder because she had less blocks to find, but still found the same amount.",1,"Same made a design, while Tome just placed the blocks in the container.",1,"Lisa's was harder because it was more intricate, and it involved stacking.",1,"Tessa had to stack hers, which takes balance.",1,1,1,"John is younger, and he has less experience with things like this.",1,1,1,It was harder for him to do with only one arm.,1,Because she had to do the same amount of work as both Jordan and Sarah.,I just tried to analyze the situation and use logic.,0,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Because she had to do the same amount of work as both Jordan and Sarah.,I just tried to analyze the situation and use logic.,Yes,No,1.75,Yes,Male,,33,Bachelor's degree,English,No,77652
19,adult,hard,1,1,Paige had to use many more blocks to create the shape.,1,Sharon had more blocks to arrange into the X shape.,1,Sally had to make three towers instead of one.,1,Sarah has a lot more blocks to use in order to make the shape and that takes longer and is more work.,1,Sophie had to arrange more blocks into a line.,1,Ruth basically had to make her shape from scratch whereas Quinn only had to add a few blocks to finish.,1,Beth had to carefully stack each block in order to make the shape.,1,Danielle had to move her blocks from the side and that makes it harder.,1,Kara had to move hers to the side.,1,Emma had to separate the different colors of the blocks and that made it harder.,1,Kelly had to arrange the colors of the blocks too as well as stacking them.,1,1,1,She had to find red blocks in a mostly blue jar of blocks.,1,Sam had to stack his blocks and arrange them.,1,Lisa had to create a tower.,1,It is harder to stack vertically than horizontally.,1,1,1,John is a young boy so he probably thinks it was harder to arrange the blocks.,1,1,1,Marcus has the use of only one arm and that makes it harder to stack blocks.,1,Claire had to do alot of work and she thought it was hard.,"I didn't have any strategy, I looked at who had more work to do such as the activity taking longer than the other person or it looking more complicated and that is how I chose my answer.",0,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Claire had to do alot of work and she thought it was hard.,"I didn't have any strategy, I looked at who had more work to do such as the activity taking longer than the other person or it looking more complicated and that is how I chose my answer.",Yes,no,2,Yes,Male,,30,High school graduate (includes equivalency),English,,83546
20,adult,hard,1,1,paige holds many boxes to construct,1,Sharon made harder because there's many blocks,1,Sally made more boxes to construct block and Anne made very few boxes to construct Block,1,Sarah constructed many boxes into the block when compared to Jill,1,"Jessica started earlier and Sophie started at late and she finished with Jessica, ",1,Both were started to construct but Quinn Constructed many than Ruth,1,Beth had individual boxes and Kate had just 2 set of boxes,1,"Danielle felt too sad while start of the game, But Jane felt happy to construct easy block",0,Linda felt sad while start of the game,0,Rose had more boxes to construct than Emma,1,Kelly made it with multiple colors,1,1,0,Jen felt too sad to construct but Claire felt happy to construct easy block,1,Sam constructed something but Tom did nothing,0,Carol tried a lot and doesn't make it into construction,1,Tessa made it in Vertical ,1,1,1,John is too younger than Kara and did same job,1,1,1,"Marcus had sore hand and he used single hand to construct Block , but Eric used two hands",1,Claire did everything alone but Jordan and Sarah made it as group,"How many boxes each holds?What was their face reaction at start of the game",1,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,Claire did everything alone but Jordan and Sarah made it as group,"How many boxes each holds?What was their face reaction at start of the game",Yes,No,2,Yes,Female,,33,Bachelor's degree,English,Nice one,56096
21,adult,hard,1,1,she had more pieces and needed to make a perfect circle,1,she had to make a bigger section,1,sally did triple of what anne did,1,she had triple to make than jill,1,much of jessicas was already made,0,it actually seems equal but quin may have a bit taller ,1,kate only has to get two pieces to stand and beth has to get many to stand steady,0,it seems like a few more pieces,0,she made a bigger figure,1,emma had to sort colors more,1,she took the time to alternate colors,0,1,1,she had to dig through the blue blocks to get the red,1,sam actually made a figure where all tom did was put his in the container,1,lisa put in the effort to make a reasonable figure where all carol did was rearrange hers,1,tessa had to balance hers in the air,1,1,0,it was not as fun for her as the kid,1,1,1,because he is in a sling and could only use one arm,1,they worked together where claire worked alone,the patterns that they made or colors that they had to sort through or even just what efforts they seemed to put in,0,39,0,SAMPLING_CHECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,they worked together where claire worked alone,the patterns that they made or colors that they had to sort through or even just what efforts they seemed to put in,Yes,no,1.5,Yes,Male,,39,High school graduate (includes equivalency),english,no,13492
22,adult,hard,0,1,More effort was involved.,1,More effort was needed,1,she had more to do,1,more effort,1,more effort was involved,1,more effort,1,she's dealing with individual pieces.,1,more effort,1,more effort,1,more effort,1,more mental energy,1,1,1,she has less red blocks,1,more effort,1,more effort,1,more effort,1,1,1,more effort,1,1,1,more effort,1,more effort,I just looked at the images and figured some required more effort than others.,1,26,0,WARMUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claire,Claire,1,more effort,I just looked at the images and figured some required more effort than others.,Yes,no,2,Yes,Female,,26,"Some college, no degree",English,no,60747
