"id","age","age_rounded","gender","question_type","trial_number","trial_type","correct","trial"
14515086,3.28,3,"m","easier",3,"simple",0,"Number&Stability"
14515086,3.28,3,"m","easier",4,"simple",0,"Number3"
14515086,3.28,3,"m","easier",5,"simple",0,"Number2"
14515086,3.28,3,"m","easier",6,"simple",1,"Stability"
14515086,3.28,3,"m","easier",7,"complex",1,"Probability"
14515086,3.28,3,"m","easier",8,"complex",1,"Pattern"
14515086,3.28,3,"m","easier",9,"complex",0,"Process2"
14515086,3.28,3,"m","easier",10,"complex",1,"Process1"
14515086,3.28,3,"m","easier",11,"agent",1,"Agent1"
14515086,3.28,3,"m","easier",12,"agent",1,"Agent2"
14515086,3.28,3,"m","easier",13,"agent",1,"Agent3"
71852900,3.28,3,"m","harder",1,"simple",1,"Number4"
71852900,3.28,3,"m","harder",2,"simple",1,"Stability"
71852900,3.28,3,"m","harder",3,"simple",0,"Number&Stability"
71852900,3.28,3,"m","harder",4,"simple",0,"Number2"
71852900,3.28,3,"m","harder",5,"simple",1,"Number3"
71852900,3.28,3,"m","harder",6,"simple",1,"Number1"
71852900,3.28,3,"m","harder",7,"complex",1,"Pattern"
71852900,3.28,3,"m","harder",8,"complex",1,"Probability"
71852900,3.28,3,"m","harder",9,"complex",1,"Process1"
71852900,3.28,3,"m","harder",10,"complex",0,"Process2"
71852900,3.28,3,"m","harder",11,"agent",1,"Agent1"
71852900,3.28,3,"m","harder",12,"agent",0,"Agent2"
71852900,3.28,3,"m","harder",13,"agent",0,"Agent3"
97635883,3.04,3,"m","easier",1,"simple",1,"Number3"
97635883,3.04,3,"m","easier",2,"simple",1,"Number&Stability"
97635883,3.04,3,"m","easier",3,"simple",1,"Number2"
97635883,3.04,3,"m","easier",4,"simple",1,"Stability"
97635883,3.04,3,"m","easier",5,"simple",1,"Number4"
97635883,3.04,3,"m","easier",6,"simple",1,"Number1"
97635883,3.04,3,"m","easier",7,"complex",0,"Pattern"
97635883,3.04,3,"m","easier",8,"complex",1,"Process2"
97635883,3.04,3,"m","easier",9,"complex",1,"Process1"
97635883,3.04,3,"m","easier",10,"complex",0,"Probability"
97635883,3.04,3,"m","easier",11,"agent",1,"Agent1"
97635883,3.04,3,"m","easier",12,"agent",0,"Agent2"
97635883,3.04,3,"m","easier",13,"agent",0,"Agent3"
82175319,3.78,3,"m","harder",1,"simple",0,"Number3"
82175319,3.78,3,"m","harder",2,"simple",1,"Number4"
82175319,3.78,3,"m","harder",3,"simple",1,"Stability"
82175319,3.78,3,"m","harder",4,"simple",1,"Number1"
82175319,3.78,3,"m","harder",5,"simple",1,"Number&Stability"
82175319,3.78,3,"m","harder",6,"simple",1,"Number2"
82175319,3.78,3,"m","harder",7,"complex",0,"Pattern"
82175319,3.78,3,"m","harder",8,"complex",1,"Process1"
82175319,3.78,3,"m","harder",9,"complex",0,"Process2"
82175319,3.78,3,"m","harder",10,"complex",0,"Probability"
82175319,3.78,3,"m","harder",11,"agent",1,"Agent3"
82175319,3.78,3,"m","harder",12,"agent",1,"Agent1"
82175319,3.78,3,"m","harder",13,"agent",1,"Agent2"
46249847,3.78,3,"m","easier",1,"simple",0,"Number2"
46249847,3.78,3,"m","easier",2,"simple",1,"Stability"
46249847,3.78,3,"m","easier",3,"simple",1,"Number4"
46249847,3.78,3,"m","easier",4,"simple",0,"Number3"
46249847,3.78,3,"m","easier",5,"simple",1,"Number1"
46249847,3.78,3,"m","easier",6,"simple",0,"Number&Stability"
46249847,3.78,3,"m","easier",7,"complex",0,"Process1"
46249847,3.78,3,"m","easier",8,"complex",0,"Process2"
46249847,3.78,3,"m","easier",9,"complex",0,"Probability"
46249847,3.78,3,"m","easier",10,"complex",0,"Pattern"
46249847,3.78,3,"m","easier",11,"agent",0,"Agent2"
46249847,3.78,3,"m","easier",12,"agent",1,"Agent1"
46249847,3.78,3,"m","easier",13,"agent",1,"Agent3"
64558401,3.69,3,"m","harder",1,"simple",1,"Number3"
64558401,3.69,3,"m","harder",2,"simple",1,"Number1"
64558401,3.69,3,"m","harder",3,"simple",1,"Number2"
64558401,3.69,3,"m","harder",4,"simple",1,"Stability"
64558401,3.69,3,"m","harder",5,"simple",1,"Number&Stability"
64558401,3.69,3,"m","harder",6,"simple",1,"Number4"
64558401,3.69,3,"m","harder",7,"complex",1,"Pattern"
64558401,3.69,3,"m","harder",8,"complex",1,"Process2"
64558401,3.69,3,"m","harder",9,"complex",0,"Probability"
64558401,3.69,3,"m","harder",10,"complex",1,"Process1"
64558401,3.69,3,"m","harder",11,"agent",0,"Agent2"
64558401,3.69,3,"m","harder",12,"agent",1,"Agent1"
64558401,3.69,3,"m","harder",13,"agent",0,"Agent3"
37616888,3.12,3,"m","harder",1,"simple",1,"Number2"
37616888,3.12,3,"m","harder",2,"simple",1,"Number1"
37616888,3.12,3,"m","harder",3,"simple",1,"Stability"
37616888,3.12,3,"m","harder",4,"simple",1,"Number3"
37616888,3.12,3,"m","harder",5,"simple",1,"Number4"
37616888,3.12,3,"m","harder",6,"simple",1,"Number&Stability"
37616888,3.12,3,"m","harder",7,"complex",1,"Probability"
37616888,3.12,3,"m","harder",8,"complex",0,"Process1"
37616888,3.12,3,"m","harder",9,"complex",1,"Pattern"
37616888,3.12,3,"m","harder",10,"complex",1,"Process2"
37616888,3.12,3,"m","harder",11,"agent",1,"Agent2"
37616888,3.12,3,"m","harder",12,"agent",0,"Agent1"
37616888,3.12,3,"m","harder",13,"agent",0,"Agent3"
15062522,3.45,3,"m","easier",1,"simple",1,"Stability"
15062522,3.45,3,"m","easier",2,"simple",0,"Number4"
15062522,3.45,3,"m","easier",3,"simple",1,"Number&Stability"
15062522,3.45,3,"m","easier",4,"simple",1,"Number1"
15062522,3.45,3,"m","easier",5,"simple",0,"Number3"
15062522,3.45,3,"m","easier",6,"simple",1,"Number2"
15062522,3.45,3,"m","easier",7,"complex",0,"Probability"
15062522,3.45,3,"m","easier",8,"complex",1,"Process2"
15062522,3.45,3,"m","easier",9,"complex",1,"Pattern"
15062522,3.45,3,"m","easier",10,"complex",0,"Process1"
15062522,3.45,3,"m","easier",11,"agent",1,"Agent1"
15062522,3.45,3,"m","easier",12,"agent",0,"Agent2"
15062522,3.45,3,"m","easier",13,"agent",1,"Agent3"
89484653,3.78,3,"f","easier",1,"simple",0,"Number4"
89484653,3.78,3,"f","easier",2,"simple",0,"Number1"
89484653,3.78,3,"f","easier",3,"simple",0,"Stability"
89484653,3.78,3,"f","easier",4,"simple",0,"Number2"
89484653,3.78,3,"f","easier",5,"simple",0,"Number3"
89484653,3.78,3,"f","easier",6,"simple",0,"Number&Stability"
89484653,3.78,3,"f","easier",7,"complex",0,"Pattern"
89484653,3.78,3,"f","easier",8,"complex",0,"Probability"
89484653,3.78,3,"f","easier",9,"complex",0,"Process2"
45103394,3.28,3,"f","harder",1,"simple",0,"Number1"
45103394,3.28,3,"f","harder",2,"simple",0,"Number&Stability"
45103394,3.28,3,"f","harder",3,"simple",0,"Number3"
45103394,3.28,3,"f","harder",4,"simple",0,"Stability"
45103394,3.28,3,"f","harder",5,"simple",1,"Number2"
45103394,3.28,3,"f","harder",6,"simple",0,"Number4"
45103394,3.28,3,"f","harder",7,"complex",0,"Pattern"
45103394,3.28,3,"f","harder",8,"complex",1,"Process1"
45103394,3.28,3,"f","harder",9,"complex",0,"Probability"
45103394,3.28,3,"f","harder",10,"complex",1,"Process2"
45103394,3.28,3,"f","harder",11,"agent",0,"Agent1"
45103394,3.28,3,"f","harder",12,"agent",1,"Agent2"
45103394,3.28,3,"f","harder",13,"agent",0,"Agent3"
43833088,3.69,3,"f","easier",1,"simple",0,"Number2"
43833088,3.69,3,"f","easier",2,"simple",0,"Number4"
43833088,3.69,3,"f","easier",3,"simple",0,"Number&Stability"
43833088,3.69,3,"f","easier",4,"simple",1,"Number1"
43833088,3.69,3,"f","easier",5,"simple",1,"Stability"
43833088,3.69,3,"f","easier",6,"simple",1,"Number3"
43833088,3.69,3,"f","easier",7,"complex",0,"Process2"
43833088,3.69,3,"f","easier",8,"complex",1,"Pattern"
43833088,3.69,3,"f","easier",9,"complex",0,"Probability"
43833088,3.69,3,"f","easier",10,"complex",1,"Process1"
43833088,3.69,3,"f","easier",11,"agent",0,"Agent3"
43833088,3.69,3,"f","easier",12,"agent",0,"Agent2"
43833088,3.69,3,"f","easier",13,"agent",1,"Agent1"
79310672,3.78,3,"f","harder",1,"simple",0,"Stability"
79310672,3.78,3,"f","harder",2,"simple",1,"Number3"
79310672,3.78,3,"f","harder",3,"simple",0,"Number2"
79310672,3.78,3,"f","harder",4,"simple",0,"Number&Stability"
79310672,3.78,3,"f","harder",5,"simple",1,"Number4"
79310672,3.78,3,"f","harder",6,"simple",0,"Number1"
79310672,3.78,3,"f","harder",7,"complex",1,"Process2"
79310672,3.78,3,"f","harder",8,"complex",0,"Probability"
79310672,3.78,3,"f","harder",9,"complex",0,"Process1"
79310672,3.78,3,"f","harder",10,"complex",1,"Pattern"
79310672,3.78,3,"f","harder",11,"agent",1,"Agent3"
79310672,3.78,3,"f","harder",12,"agent",0,"Agent2"
79310672,3.78,3,"f","harder",13,"agent",1,"Agent1"
82585630,3.45,3,"m","easier",1,"simple",1,"Stability"
82585630,3.45,3,"m","easier",2,"simple",1,"Number3"
82585630,3.45,3,"m","easier",3,"simple",0,"Number1"
82585630,3.45,3,"m","easier",4,"simple",0,"Number2"
82585630,3.45,3,"m","easier",5,"simple",0,"Number4"
82585630,3.45,3,"m","easier",6,"simple",0,"Number&Stability"
82585630,3.45,3,"m","easier",7,"complex",0,"Probability"
82585630,3.45,3,"m","easier",8,"complex",0,"Process1"
82585630,3.45,3,"m","easier",9,"complex",1,"Process2"
82585630,3.45,3,"m","easier",10,"complex",0,"Pattern"
82585630,3.45,3,"m","easier",11,"agent",1,"Agent3"
82585630,3.45,3,"m","easier",12,"agent",0,"Agent1"
82585630,3.45,3,"m","easier",13,"agent",0,"Agent2"
48931967,3.2,3,"f","easier",1,"simple",1,"Number&Stability"
48931967,3.2,3,"f","easier",2,"simple",0,"Number1"
48931967,3.2,3,"f","easier",3,"simple",1,"Number3"
48931967,3.2,3,"f","easier",4,"simple",0,"Stability"
48931967,3.2,3,"f","easier",5,"simple",0,"Number2"
48931967,3.2,3,"f","easier",6,"simple",0,"Number4"
48931967,3.2,3,"f","easier",7,"complex",1,"Process2"
48931967,3.2,3,"f","easier",8,"complex",1,"Process1"
48931967,3.2,3,"f","easier",9,"complex",0,"Pattern"
48931967,3.2,3,"f","easier",10,"complex",0,"Probability"
48931967,3.2,3,"f","easier",11,"agent",1,"Agent1"
48931967,3.2,3,"f","easier",12,"agent",0,"Agent2"
48931967,3.2,3,"f","easier",13,"agent",0,"Agent3"
27054300,3.94,3,"f","harder",1,"simple",1,"Number4"
27054300,3.94,3,"f","harder",2,"simple",1,"Number1"
27054300,3.94,3,"f","harder",3,"simple",1,"Number2"
27054300,3.94,3,"f","harder",4,"simple",1,"Number3"
27054300,3.94,3,"f","harder",5,"simple",1,"Stability"
27054300,3.94,3,"f","harder",6,"simple",1,"Number&Stability"
27054300,3.94,3,"f","harder",7,"complex",1,"Pattern"
27054300,3.94,3,"f","harder",8,"complex",0,"Process2"
27054300,3.94,3,"f","harder",9,"complex",1,"Process1"
27054300,3.94,3,"f","harder",10,"complex",0,"Probability"
27054300,3.94,3,"f","harder",11,"agent",0,"Agent3"
27054300,3.94,3,"f","harder",12,"agent",1,"Agent1"
27054300,3.94,3,"f","harder",13,"agent",1,"Agent2"
60444990,3.28,3,"m","easier",1,"simple",0,"Stability"
60444990,3.28,3,"m","easier",2,"simple",0,"Number3"
60444990,3.28,3,"m","easier",3,"simple",0,"Number2"
60444990,3.28,3,"m","easier",4,"simple",0,"Number1"
60444990,3.28,3,"m","easier",5,"simple",1,"Number&Stability"
60444990,3.28,3,"m","easier",6,"simple",0,"Number4"
60444990,3.28,3,"m","easier",7,"complex",0,"Process2"
60444990,3.28,3,"m","easier",8,"complex",1,"Pattern"
60444990,3.28,3,"m","easier",9,"complex",0,"Probability"
60444990,3.28,3,"m","easier",10,"complex",1,"Process1"
60444990,3.28,3,"m","easier",11,"agent",1,"Agent1"
60444990,3.28,3,"m","easier",12,"agent",0,"Agent2"
60444990,3.28,3,"m","easier",13,"agent",0,"Agent3"
24856198,3.04,3,"f","easier",1,"simple",0,"Number&Stability"
24856198,3.04,3,"f","easier",2,"simple",1,"Stability"
24856198,3.04,3,"f","easier",3,"simple",0,"Number3"
24856198,3.04,3,"f","easier",4,"simple",0,"Number1"
24856198,3.04,3,"f","easier",5,"simple",1,"Number2"
24856198,3.04,3,"f","easier",6,"simple",0,"Number4"
24856198,3.04,3,"f","easier",7,"complex",0,"Process2"
24856198,3.04,3,"f","easier",8,"complex",0,"Pattern"
24856198,3.04,3,"f","easier",9,"complex",0,"Process1"
24856198,3.04,3,"f","easier",10,"complex",0,"Probability"
24856198,3.04,3,"f","easier",11,"agent",1,"Agent3"
24856198,3.04,3,"f","easier",12,"agent",0,"Agent2"
24856198,3.04,3,"f","easier",13,"agent",1,"Agent1"
40622451,3.2,3,"f","harder",1,"simple",0,"Number4"
40622451,3.2,3,"f","harder",2,"simple",1,"Stability"
40622451,3.2,3,"f","harder",3,"simple",0,"Number1"
40622451,3.2,3,"f","harder",4,"simple",0,"Number2"
40622451,3.2,3,"f","harder",5,"simple",1,"Number&Stability"
40622451,3.2,3,"f","harder",6,"simple",0,"Number3"
40622451,3.2,3,"f","harder",7,"complex",1,"Process2"
40622451,3.2,3,"f","harder",8,"complex",1,"Pattern"
40622451,3.2,3,"f","harder",9,"complex",0,"Process1"
40622451,3.2,3,"f","harder",10,"complex",0,"Probability"
40622451,3.2,3,"f","harder",11,"agent",0,"Agent1"
40622451,3.2,3,"f","harder",12,"agent",1,"Agent2"
40622451,3.2,3,"f","harder",13,"agent",1,"Agent3"
45861460,3.78,3,"m","harder",1,"simple",1,"Number3"
45861460,3.78,3,"m","harder",2,"simple",1,"Number2"
45861460,3.78,3,"m","harder",3,"simple",1,"Number4"
45861460,3.78,3,"m","harder",4,"simple",0,"Number1"
45861460,3.78,3,"m","harder",5,"simple",0,"Stability"
45861460,3.78,3,"m","harder",6,"simple",1,"Number&Stability"
45861460,3.78,3,"m","harder",7,"complex",0,"Process1"
45861460,3.78,3,"m","harder",8,"complex",0,"Pattern"
45861460,3.78,3,"m","harder",9,"complex",1,"Probability"
45861460,3.78,3,"m","harder",10,"complex",1,"Process2"
45861460,3.78,3,"m","harder",11,"agent",0,"Agent3"
45861460,3.78,3,"m","harder",12,"agent",1,"Agent1"
45861460,3.78,3,"m","harder",13,"agent",1,"Agent2"
57612780,3.94,3,"m","easier",1,"simple",0,"Number2"
57612780,3.94,3,"m","easier",2,"simple",1,"Stability"
57612780,3.94,3,"m","easier",3,"simple",0,"Number4"
57612780,3.94,3,"m","easier",4,"simple",0,"Number1"
57612780,3.94,3,"m","easier",5,"simple",0,"Number&Stability"
57612780,3.94,3,"m","easier",6,"simple",0,"Number3"
57612780,3.94,3,"m","easier",7,"complex",0,"Process2"
57612780,3.94,3,"m","easier",8,"complex",0,"Process1"
57612780,3.94,3,"m","easier",9,"complex",0,"Pattern"
57612780,3.94,3,"m","easier",10,"complex",1,"Probability"
57612780,3.94,3,"m","easier",11,"agent",0,"Agent2"
57612780,3.94,3,"m","easier",12,"agent",1,"Agent1"
57612780,3.94,3,"m","easier",13,"agent",1,"Agent3"
47255566,3.12,3,"f","harder",1,"simple",1,"Number2"
47255566,3.12,3,"f","harder",2,"simple",1,"Number4"
47255566,3.12,3,"f","harder",3,"simple",1,"Number1"
47255566,3.12,3,"f","harder",4,"simple",0,"Stability"
47255566,3.12,3,"f","harder",5,"simple",0,"Number&Stability"
47255566,3.12,3,"f","harder",6,"simple",1,"Number3"
47255566,3.12,3,"f","harder",7,"complex",1,"Process1"
47255566,3.12,3,"f","harder",8,"complex",1,"Probability"
47255566,3.12,3,"f","harder",9,"complex",1,"Pattern"
47255566,3.12,3,"f","harder",10,"complex",1,"Process2"
47255566,3.12,3,"f","harder",11,"agent",1,"Agent1"
47255566,3.12,3,"f","harder",12,"agent",1,"Agent2"
47255566,3.12,3,"f","harder",13,"agent",0,"Agent3"
93531654,3.94,3,"f","harder",1,"simple",1,"Number1"
93531654,3.94,3,"f","harder",2,"simple",1,"Number2"
93531654,3.94,3,"f","harder",3,"simple",1,"Number&Stability"
93531654,3.94,3,"f","harder",4,"simple",1,"Stability"
93531654,3.94,3,"f","harder",5,"simple",1,"Number4"
93531654,3.94,3,"f","harder",6,"simple",1,"Number3"
93531654,3.94,3,"f","harder",7,"complex",0,"Pattern"
93531654,3.94,3,"f","harder",8,"complex",0,"Probability"
93531654,3.94,3,"f","harder",9,"complex",0,"Process2"
93531654,3.94,3,"f","harder",10,"complex",0,"Process1"
93531654,3.94,3,"f","harder",11,"agent",1,"Agent2"
93531654,3.94,3,"f","harder",12,"agent",0,"Agent3"
93531654,3.94,3,"f","harder",13,"agent",1,"Agent1"
68297738,3.94,3,"m","easier",1,"simple",0,"Number4"
68297738,3.94,3,"m","easier",2,"simple",1,"Number3"
68297738,3.94,3,"m","easier",3,"simple",0,"Number2"
68297738,3.94,3,"m","easier",4,"simple",0,"Number&Stability"
68297738,3.94,3,"m","easier",5,"simple",1,"Stability"
68297738,3.94,3,"m","easier",6,"simple",0,"Number1"
68297738,3.94,3,"m","easier",7,"complex",0,"Process2"
68297738,3.94,3,"m","easier",8,"complex",1,"Probability"
68297738,3.94,3,"m","easier",9,"complex",0,"Pattern"
68297738,3.94,3,"m","easier",10,"complex",0,"Process1"
68297738,3.94,3,"m","easier",11,"agent",0,"Agent3"
68297738,3.94,3,"m","easier",12,"agent",1,"Agent1"
68297738,3.94,3,"m","easier",13,"agent",1,"Agent2"
74243909,3.2,3,"f","harder",1,"simple",0,"Stability"
74243909,3.2,3,"f","harder",2,"simple",1,"Number4"
74243909,3.2,3,"f","harder",3,"simple",1,"Number1"
74243909,3.2,3,"f","harder",4,"simple",0,"Number3"
74243909,3.2,3,"f","harder",5,"simple",0,"Number2"
74243909,3.2,3,"f","harder",6,"simple",0,"Number&Stability"
74243909,3.2,3,"f","harder",7,"complex",1,"Pattern"
74243909,3.2,3,"f","harder",8,"complex",1,"Process2"
74243909,3.2,3,"f","harder",9,"complex",1,"Probability"
74243909,3.2,3,"f","harder",10,"complex",0,"Process1"
74243909,3.2,3,"f","harder",11,"agent",1,"Agent2"
74243909,3.2,3,"f","harder",12,"agent",1,"Agent3"
74243909,3.2,3,"f","harder",13,"agent",0,"Agent1"
33498216,3.94,3,"f","harder",1,"simple",1,"Number&Stability"
33498216,3.94,3,"f","harder",2,"simple",1,"Number3"
33498216,3.94,3,"f","harder",3,"simple",1,"Number2"
33498216,3.94,3,"f","harder",4,"simple",1,"Stability"
33498216,3.94,3,"f","harder",5,"simple",1,"Number1"
33498216,3.94,3,"f","harder",6,"simple",1,"Number4"
33498216,3.94,3,"f","harder",7,"complex",0,"Process2"
33498216,3.94,3,"f","harder",8,"complex",0,"Pattern"
33498216,3.94,3,"f","harder",9,"complex",0,"Probability"
33498216,3.94,3,"f","harder",10,"complex",1,"Process1"
33498216,3.94,3,"f","harder",11,"agent",1,"Agent1"
33498216,3.94,3,"f","harder",12,"agent",1,"Agent2"
33498216,3.94,3,"f","harder",13,"agent",0,"Agent3"
22063446,3.45,3,"f","harder",1,"simple",0,"Number&Stability"
22063446,3.45,3,"f","harder",2,"simple",1,"Number3"
22063446,3.45,3,"f","harder",3,"simple",0,"Stability"
22063446,3.45,3,"f","harder",4,"simple",1,"Number2"
22063446,3.45,3,"f","harder",5,"simple",1,"Number1"
22063446,3.45,3,"f","harder",6,"simple",0,"Number4"
22063446,3.45,3,"f","harder",7,"complex",0,"Pattern"
22063446,3.45,3,"f","harder",8,"complex",0,"Process1"
22063446,3.45,3,"f","harder",9,"complex",1,"Probability"
22063446,3.45,3,"f","harder",10,"complex",1,"Process2"
22063446,3.45,3,"f","harder",11,"agent",1,"Agent3"
22063446,3.45,3,"f","harder",12,"agent",1,"Agent2"
22063446,3.45,3,"f","harder",13,"agent",0,"Agent1"
82246588,3.04,3,"m","harder",1,"simple",1,"Number1"
82246588,3.04,3,"m","harder",2,"simple",0,"Number4"
82246588,3.04,3,"m","harder",3,"simple",1,"Stability"
82246588,3.04,3,"m","harder",4,"simple",1,"Number2"
82246588,3.04,3,"m","harder",5,"simple",0,"Number&Stability"
82246588,3.04,3,"m","harder",6,"simple",1,"Number3"
82246588,3.04,3,"m","harder",7,"complex",0,"Process1"
82246588,3.04,3,"m","harder",8,"complex",0,"Probability"
82246588,3.04,3,"m","harder",9,"complex",1,"Process2"
82246588,3.04,3,"m","harder",10,"complex",0,"Pattern"
82246588,3.04,3,"m","harder",11,"agent",0,"Agent1"
82246588,3.04,3,"m","harder",12,"agent",0,"Agent2"
82246588,3.04,3,"m","harder",13,"agent",1,"Agent3"
63163125,3.86,3,"f","harder",1,"simple",1,"Number&Stability"
63163125,3.86,3,"f","harder",2,"simple",1,"Number3"
63163125,3.86,3,"f","harder",3,"simple",0,"Number2"
63163125,3.86,3,"f","harder",4,"simple",1,"Stability"
63163125,3.86,3,"f","harder",5,"simple",1,"Number4"
63163125,3.86,3,"f","harder",6,"simple",1,"Number1"
63163125,3.86,3,"f","harder",7,"complex",1,"Probability"
63163125,3.86,3,"f","harder",8,"complex",1,"Pattern"
63163125,3.86,3,"f","harder",9,"complex",0,"Process1"
63163125,3.86,3,"f","harder",10,"complex",0,"Process2"
63163125,3.86,3,"f","harder",11,"agent",1,"Agent2"
63163125,3.86,3,"f","harder",12,"agent",1,"Agent1"
63163125,3.86,3,"f","harder",13,"agent",0,"Agent3"
42560261,3.45,3,"f","easier",1,"simple",1,"Number4"
42560261,3.45,3,"f","easier",2,"simple",0,"Number&Stability"
42560261,3.45,3,"f","easier",3,"simple",1,"Stability"
42560261,3.45,3,"f","easier",4,"simple",1,"Number1"
42560261,3.45,3,"f","easier",5,"simple",0,"Number2"
42560261,3.45,3,"f","easier",6,"simple",1,"Number3"
42560261,3.45,3,"f","easier",7,"complex",1,"Pattern"
42560261,3.45,3,"f","easier",8,"complex",0,"Process1"
42560261,3.45,3,"f","easier",9,"complex",1,"Process2"
42560261,3.45,3,"f","easier",10,"complex",1,"Probability"
42560261,3.45,3,"f","easier",11,"agent",0,"Agent1"
42560261,3.45,3,"f","easier",12,"agent",0,"Agent2"
42560261,3.45,3,"f","easier",13,"agent",1,"Agent3"
47012865,3.86,3,"f","harder",1,"simple",0,"Number3"
47012865,3.86,3,"f","harder",2,"simple",0,"Stability"
47012865,3.86,3,"f","harder",3,"simple",0,"Number4"
47012865,3.86,3,"f","harder",4,"simple",0,"Number&Stability"
47012865,3.86,3,"f","harder",5,"simple",0,"Number2"
